date,reply count,sentiment type,sentiment score,change_percent2,volume2
2021-12-14,53778,neutral,0.68916583,-0.75,3292740000
2021-12-16,365,neutral,0.6396036,-0.87,3592810000
2021-12-22,333,neutral,0.718363,1.02,2439570000
2021-12-23,7006,neutral,0.83951473,0.62,2194630000
2021-12-27,796,neutral,0.51419544,1.38,2264120000
2022-01-05,904,neutral,0.5302458,-1.94,3733540000
2022-01-10,11923,neutral,0.8443973,-0.14,3621800000
2022-01-13,3550,neutral,0.51447445,-1.42,3539830000
2022-01-14,37284,neutral,0.66785085,0.08,3483530000
2022-01-18,1000,neutral,0.5526276,-1.84,3324960000
2022-01-19,8752,neutral,0.7818615,-0.97,3387370000
2022-01-20,589,neutral,0.64919454,-1.1,3473060000
2022-01-28,505,neutral,0.50122917,2.43,3936030000
2022-01-31,386,neutral,0.7117037,1.89,4001950000
2022-02-02,599,neutral,0.84220135,0.94,3777170000
2022-02-07,531,neutral,0.7839351,-0.37,3291600000
2022-02-14,1019,neutral,0.7490366,-0.38,3466170000
2022-02-17,1008,neutral,0.8487923,-2.12,3596510000
2022-02-18,1208,neutral,0.4630153,-0.72,3871340000
2022-02-22,337,neutral,0.8853869,-1.01,4007780000
2022-02-23,378,neutral,0.6650388,-1.84,3814340000
2022-02-25,630,neutral,0.85722345,2.24,3941780000
2022-03-01,792,neutral,0.6515723,-1.55,4679400000
2022-03-02,1094,neutral,0.5657724,1.86,4409090000
2022-03-03,687,neutral,0.5686697,-0.53,4062080000
2022-03-04,816,neutral,0.66469646,-0.79,4558250000
2022-03-07,12626,neutral,0.81817085,-2.95,5506330000
2022-03-14,3429,neutral,0.7333613,-0.74,4757600000
2022-03-15,897,neutral,0.56266874,2.14,4331170000
2022-03-21,1038,neutral,0.5805876,-0.04,3961050000
2022-03-28,1371,neutral,0.84378046,0.71,3696850000
2022-03-29,1054,neutral,0.83764994,1.23,4239660000
2022-03-30,951,neutral,0.5201448,-0.63,3665390000
2022-03-31,624,neutral,0.7373506,-1.57,3782040000
2022-04-06,623,neutral,0.63097453,-0.97,4137080000
2022-04-07,1387,neutral,0.78925127,0.43,4054010000
2022-04-08,4299,neutral,0.6694527,-0.27,3453040000
2022-04-11,3051,neutral,0.75686634,-1.69,3452540000
2022-04-18,2334,neutral,0.55033255,-0.02,3509340000
2022-04-20,2849,neutral,0.7234601,-0.06,3678040000
2022-04-21,490,neutral,0.51892483,-1.48,3833570000
2022-04-25,11837,neutral,0.71107906,0.57,4061070000
2022-04-29,2922,neutral,0.6692239,-3.63,3943480000
2022-05-03,551,neutral,0.71622854,0.48,3877530000
2022-05-13,415,neutral,0.7563582,2.39,4142950000
2022-05-16,1552,neutral,0.59086907,-0.39,3824320000
2022-05-17,696,neutral,0.63860023,2.02,3846580000
2022-05-18,492,neutral,0.46658722,-4.04,4428960000
2022-05-20,14228,neutral,0.62392133,0.01,4278520000
2022-05-23,28718,neutral,0.65533847,1.86,3392770000
2022-05-25,1480,neutral,0.7798441,0.95,4322190000
2022-05-26,393,neutral,0.83243835,1.99,3961940000
2022-05-31,305,neutral,0.51424146,-0.63,5192220000
2022-06-01,467,neutral,0.8744243,-0.75,4145710000
2022-06-02,685,neutral,0.51945955,1.84,3604930000
2022-06-03,8380,neutral,0.5681924,-1.63,3107080000
2022-06-06,825,neutral,0.47919628,0.31,3852050000
2022-06-07,1264,neutral,0.57299733,0.95,3476470000
2022-06-08,375,neutral,0.4791557,-1.08,3090180000
2022-06-10,359,neutral,0.68789726,-2.91,3936120000
2022-06-13,771,neutral,0.6488248,-3.88,4572820000
2022-06-15,4275,neutral,0.70302594,1.46,4474610000
