date,reply count,sentiment type,sentiment score,change_percent,volume
2018-05-07,1904,negative,0.9457147,2.95,8678223
2018-05-09,275,negative,0.86588687,1.62,5727364
2018-05-10,10,negative,0.4625878,-0.6,5651560
2018-05-14,316,negative,0.8722388,-3.02,7286803
2018-05-15,3698,negative,0.9491715,-2.67,9519107
2018-05-18,312,negative,0.9633378,-2.71,7251887
2018-05-21,92,negative,0.8056926,2.77,9182570
2018-05-22,298,negative,0.9245446,-3.33,8945755
2018-05-23,2139,negative,0.9301516,1.48,5985052
2018-05-24,1082,negative,0.7952922,-0.44,4176707
2018-05-25,1381,negative,0.9463917,0.36,3875081
2018-05-29,1159,negative,0.9659,1.76,5666639
2018-05-30,18,negative,0.5597426,2.81,7489685
2018-05-31,1431,negative,0.41735607,-2.4,5919720
2018-06-04,1841,negative,0.9519401,1.69,4797809
2018-06-07,32,negative,0.85691863,-1.07,14345270
2018-06-11,586,negative,0.7504923,4.55,13183469
2018-06-15,61,negative,0.80166835,0.13,10848249
2018-06-18,5070,negative,0.9479958,3.53,12073229
2018-06-19,183,negative,0.8595573,-4.93,12761899
2018-06-20,54,negative,0.82738876,2.74,8383655
2018-06-22,85,negative,0.77114433,-3.99,10266059
2018-06-25,1574,negative,0.8159936,-0.19,6931303
2018-06-26,45,negative,0.7749718,2.7,7452486
2018-06-27,109,negative,0.97472894,0.73,8333727
2018-06-28,84,negative,0.8917658,1.58,8398004
2018-06-29,44,negative,0.587185,-1.99,6492395
2018-07-05,124,negative,0.8384744,-0.55,17476368
2018-07-06,74,negative,0.9140195,-0.08,8865451
2018-07-09,144,negative,0.8435139,3.11,7596752
2018-07-10,1044,negative,0.55174696,1.24,9471497
2018-07-11,2108,negative,0.6565898,-1.09,4884075
2018-07-12,52,negative,0.535089,-0.71,5721165
2018-07-16,4024,negative,0.6941328,-2.75,7818654
2018-07-18,1210,negative,0.58589333,0.36,5624210
2018-07-20,338,negative,0.48155898,-2.08,5166546
2018-07-23,105,negative,0.93177944,-3.31,10992949
2018-07-30,65,negative,0.48964667,-2.36,6814071
2018-07-31,37,negative,0.70847225,2.75,5076915
2018-08-06,1002,negative,0.80898196,-1.77,8564331
2018-08-21,109,negative,0.91288894,4.36,13172229
2018-08-27,223,negative,0.56914973,-1.1,13079289
2018-08-28,629,negative,0.72406477,-2.32,7649090
2018-08-31,1156,negative,0.59801733,-0.49,5375103
2018-09-07,68,negative,0.79298395,-6.3,22491931
2018-09-10,889,negative,0.7761827,8.46,14283529
2018-09-13,461,negative,0.51740295,-0.37,6340335
2018-09-17,107,negative,0.8901095,-0.12,6887576
2018-09-18,43,negative,0.805714,-3.35,16547519
