date,change_percent,volume
2014-01-31,-0.78,6512950
2014-02-03,-2.37,6778608
2014-02-04,0.91,4690882
2014-02-05,-2.41,7275951
2014-02-06,2.27,5847952
2014-02-07,4.57,8964053
2014-02-10,5.38,12989289
2014-02-11,0.03,10734469
2014-02-12,-0.66,5181312
2014-02-13,2.21,8174048
2014-02-14,-0.7,6173461
2014-02-18,2.76,9355871
2014-02-19,-4.94,16419897
2014-02-20,8.43,18022259
2014-02-21,-0.18,7828980
2014-02-24,3.84,8303132
2014-02-25,13.94,32796998
2014-02-26,2.02,24771187
2014-02-27,-0.18,17970710
2014-02-28,-3.06,14612689
